ko	description	ptw_count
K09473	gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]	2
K09474	acid phosphatase (class A) [EC:3.1.3.2]	3
K09475	outer membrane pore protein C	2
K09476	outer membrane pore protein F	2
K09477	citrate:succinate antiporter	1
K09478	short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]	5
K09479	very long chain acyl-CoA dehydrogenase [EC:1.3.8.9]	3
K09480	digalactosyldiacylglycerol synthase [EC:2.4.1.241]	2
K09481	protein transport protein SEC61 subunit beta	4
K09482	glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	2
K09483	3-dehydroshikimate dehydratase [EC:4.2.1.118]	3
K09484	quinate dehydrogenase [EC:1.1.1.24]	1
K09485	heat shock protein 110kDa	1
K09486	hypoxia up-regulated 1	1
K09487	heat shock protein 90kDa beta	9
K09488	TNF receptor-associated protein 1	0
K09489	heat shock 70kDa protein 4	2
K09490	heat shock 70kDa protein 5	4
K09491	stress 70 protein chaperone microsome-associated 60kDa protein	0
K09492	McKusick-Kaufman syndrome protein	0
K09493	T-complex protein 1 subunit alpha	0
K09494	T-complex protein 1 subunit beta	0
K09495	T-complex protein 1 subunit gamma	0
K09496	T-complex protein 1 subunit delta	0
K09497	T-complex protein 1 subunit epsilon	0
K09498	T-complex protein 1 subunit zeta	0
K09499	T-complex protein 1 subunit eta	0
K09500	T-complex protein 1 subunit theta	0
K09501	serpin peptidase inhibitor, clade H, member 1	0
K09502	DnaJ homolog subfamily A member 1	1
K09503	DnaJ homolog subfamily A member 2	1
K09504	DnaJ homolog subfamily A member 3	1
K09505	DnaJ homolog subfamily A member 4	0
K09506	DnaJ homolog subfamily A member 5	0
K09507	DnaJ homolog subfamily B member 1	2
K09508	DnaJ homolog subfamily B member 2	1
K09509	DnaJ homolog subfamily B member 3	0
K09510	DnaJ homolog subfamily B member 4	0
K09511	DnaJ homolog subfamily B member 5	0
K09512	DnaJ homolog subfamily B member 6	0
K09513	DnaJ homolog subfamily B member 7	0
K09514	DnaJ homolog subfamily B member 8	0
K09515	DnaJ homolog subfamily B member 9	0
K09516	all-trans-retinol 13,14-reductase [EC:1.3.99.23]	1
K09517	DnaJ homolog subfamily B member 11	1
K09518	DnaJ homolog subfamily B member 12	1
K09519	DnaJ homolog subfamily B member 13	0
K09520	DnaJ homolog subfamily B member 14	0
K09521	DnaJ homolog subfamily C member 1	1
K09522	DnaJ homolog subfamily C member 2	0
K09523	DnaJ homolog subfamily C member 3	2
K09524	DnaJ homolog subfamily C member 4	0
K09525	DnaJ homolog subfamily C member 5	1
K09526	DnaJ homolog subfamily C member 6	1
K09527	DnaJ homolog subfamily C member 7	0
K09528	DnaJ homolog subfamily C member 8	0
K09529	DnaJ homolog subfamily C member 9	0
K09530	DnaJ homolog subfamily C member 10	1
K09531	DnaJ homolog subfamily C member 11	0
K09532	DnaJ homolog subfamily C member 12	0
K09533	DnaJ homolog subfamily C member 13	0
K09534	DnaJ homolog subfamily C member 14	0
K09535	DnaJ homolog subfamily C member 15	0
K09536	DnaJ homolog subfamily C member 16	0
K09537	DnaJ homolog subfamily C member 17	0
K09538	DnaJ homolog subfamily C member 18	0
K09539	DnaJ homolog subfamily C member 19	0
K09540	translocation protein SEC63	2
K09541	crystallin, alpha A	1
K09542	crystallin, alpha B	2
K09543	heat shock protein beta-2	2
K09544	heat shock protein beta-3	0
K09545	heat shock protein beta-6	0
K09546	heat shock protein beta-7	0
K09547	heat shock protein beta-9	0
K09548	prefoldin subunit 1	0
K09549	prefoldin subunit 2	0
K09550	prefoldin subunit 4	0
K09551	calmegin	0
K09552	spastic paraplegia 7 [EC:3.4.24.-]	0
K09553	stress-induced-phosphoprotein 1	1
K09554	cell division cycle protein 37	1
K09555	BCL2-associated athanogene 1	1
K09556	BCL2-associated athanogene 2	1
K09557	BCL2-associated athanogene 3	0
K09558	BCL2-associated athanogene 4	1
K09559	BCL2-associated athanogene 5	0
K09560	suppressor of tumorigenicity protein 13	0
K09561	STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]	2
K09562	hsp70-interacting protein	1
K09563	peptidyl-prolyl isomerase C (cyclophilin C) [EC:5.2.1.8]	0
K09564	peptidyl-prolyl isomerase E (cyclophilin E) [EC:5.2.1.8]	1
K09565	peptidyl-prolyl isomerase F (cyclophilin D) [EC:5.2.1.8]	5
K09566	peptidyl-prolyl isomerase G (cyclophilin G) [EC:5.2.1.8]	0
K09567	peptidyl-prolyl isomerase H (cyclophilin H) [EC:5.2.1.8]	1
K09568	FK506-binding protein 1 [EC:5.2.1.8]	0
K09569	FK506-binding protein 2 [EC:5.2.1.8]	0
K09570	FK506-binding protein 3 [EC:5.2.1.8]	0
K09571	FK506-binding protein 4/5 [EC:5.2.1.8]	1
K09572	FK506-binding protein 6 [EC:5.2.1.8]	0
K09573	FK506-binding protein 7 [EC:5.2.1.8]	0
K09574	FK506-binding protein 8 [EC:5.2.1.8]	0
K09575	FK506-binding protein 9/10 [EC:5.2.1.8]	0
K09576	FK506-binding protein 11 [EC:5.2.1.8]	0
K09577	FK506-binding protein 14 [EC:5.2.1.8]	0
K09578	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]	1
K09579	peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [EC:5.2.1.8]	0
K09580	protein disulfide-isomerase A1 [EC:5.3.4.1]	1
K09581	protein disulfide isomerase family A, member 2 [EC:5.3.4.1]	0
K09582	protein disulfide-isomerase A4 [EC:5.3.4.1]	3
K09583	protein disulfide isomerase family A, member 5 [EC:5.3.4.1]	0
K09584	protein disulfide-isomerase A6 [EC:5.3.4.1]	1
K09585	thioredoxin domain-containing protein 10 [EC:5.3.4.1]	0
K09586	endoplasmic reticulum protein 29	1
K09587	steroid 22-alpha-hydroxylase [EC:1.14.13.-]	3
K09588	cytochrome P450 family 90 subfamily A polypeptide 1 [EC:1.14.-.-]	2
K09589	steroid 3-oxidase [EC:1.14.-.-]	3
K09590	brassinosteroid-6-oxidase 1 [EC:1.14.-.-]	3
K09591	steroid 5-alpha-reductase [EC:1.3.1.22]	3
K09592	hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.29]	3
K09593	GRB2-associated-binding protein 1	10
K09594	folliculin	2
K09595	minor histocompatibility antigen H13 [EC:3.4.23.-]	0
K09596	signal peptide peptidase-like 2A [EC:3.4.23.-]	0
K09597	signal peptide peptidase-like 2B [EC:3.4.23.-]	0
K09598	signal peptide peptidase-like 3 [EC:3.4.23.-]	0
K09599	cathepsin P [EC:3.4.22.-]	1
K09600	cathepsin M [EC:3.4.22.-]	1
K09601	cathepsin R [EC:3.4.22.-]	0
K09602	ubiquitin thioesterase protein OTUB1 [EC:3.4.19.12]	0
K09603	ubiquitin thioesterase protein OTUB2 [EC:3.4.19.12]	0
K09604	adipocyte-derived leucine aminopeptidase [EC:3.4.11.-]	0
K09605	arginyl aminopeptidase-like 1 [EC:3.4.11.-]	0
K09606	aminopeptidase O [EC:3.4.11.-]	0
K09607	immune inhibitor A [EC:3.4.24.-]	0
K09608	tolloid-like protein 1 [EC:3.4.24.-]	0
K09609	a disintegrin and metalloproteinase with thrombospondin motifs 20 [EC:3.4.24.-]	0
K09610	endothelin-converting enzyme-like 1 [EC:3.4.24.-]	0
K09611	probable aminopeptidase NPEPL1 [EC:3.4.11.-]	0
K09612	alkaline phosphatase isozyme conversion protein [EC:3.4.11.-]	0
K09613	COP9 signalosome complex subunit 5 [EC:3.4.-.-]	0
K09614	corin [EC:3.4.21.-]	0
K09615	tryptase gamma 1 [EC:3.4.21.-]	0
K09616	granzyme H (cathepsin G-like 2) [EC:3.4.21.-]	0
K09617	kallikrein 5 [EC:3.4.21.-]	0
K09618	kallikrein 9 [EC:3.4.21.-]	0
K09619	kallikrein 10 [EC:3.4.21.-]	0
K09620	kallikrein 11 [EC:3.4.21.-]	0
K09621	kallikrein 12 [EC:3.4.21.-]	0
K09622	kallikrein 14 [EC:3.4.21.-]	0
K09623	kallikrein 15 [EC:3.4.21.-]	0
K09624	neurotrypsin [EC:3.4.21.-]	0
K09625	testisin [EC:3.4.21.-]	0
K09626	brain-specific serine protease 4 [EC:3.4.21.-]	0
K09627	serine protease 23 [EC:3.4.21.-]	0
K09628	serine protease 27 [EC:3.4.21.-]	0
K09629	serine protease 33 [EC:3.4.21.-]	0
K09630	polyserase 2 [EC:3.4.21.-]	0
K09631	hepatocyte growth factor activator [EC:3.4.21.-]	0
K09632	chymotrypsin-like protease [EC:3.4.21.-]	2
K09633	transmembrane protease serine 2 [EC:3.4.21.-]	3
K09634	transmembrane protease serine 3 [EC:3.4.21.-]	0
K09635	transmembrane protease serine 4 [EC:3.4.21.-]	1
K09636	transmembrane protease serine 5 [EC:3.4.21.-]	0
K09637	transmembrane protease serine 6 [EC:3.4.21.-]	0
K09638	transmembrane protease serine 7 [EC:3.4.21.-]	0
K09639	transmembrane protease serine 8 [EC:3.4.21.-]	0
K09640	transmembrane protease serine 9 [EC:3.4.21.-]	0
K09641	transmembrane protease serine 11D [EC:3.4.21.-]	0
K09642	transmembrane protease serine 11E [EC:3.4.21.-]	0
K09643	transmembrane protease serine 13	1
K09644	apolipoprotein(a) [EC:3.4.21.-]	1
K09645	vitellogenic carboxypeptidase-like protein [EC:3.4.16.-]	0
K09646	serine carboxypeptidase 1 [EC:3.4.16.-]	0
K09647	mitochondrial inner membrane protease subunit 1 [EC:3.4.21.-]	1
K09648	mitochondrial inner membrane protease subunit 2 [EC:3.4.21.-]	1
K09649	thymus-specific serine protease [EC:3.4.-.-]	0
K09650	rhomboid-like protein [EC:3.4.21.105]	0
K09651	rhomboid domain-containing protein 1 [EC:3.4.21.-]	0
K09652	rhomboid domain-containing protein 2	0
K09653	C1GALT1-specific chaperone 1 [EC:2.4.1.-]	2
K09654	beta-1,3-N-acetylgalactosaminyltransferase 2 [EC:2.4.1.313]	2
K09655	beta-1,4-N-acetylgalactosaminyltransferase 2 [EC:2.4.1.-]	0
K09656	beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]	2
K09657	beta-1,4-N-acetylgalactosaminyltransferase 4 [EC:2.4.1.244]	2
K09658	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	3
K09659	dolichyl-phosphate mannosyltransferase polypeptide 3	2
K09660	mannose-P-dolichol utilization defect 1	0
K09661	mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]	3
K09662	N-acetylglucosaminyltransferase 3, mucin type [EC:2.4.1.-]	2
K09663	beta-1,6-N-acetylglucosaminyltransferase 4 [EC:2.4.1.-]	2
K09664	beta-1,3-N-acetylglucosaminyltransferase 7 [EC:2.4.1.-]	1
K09665	beta-1,3-N-acetylglucosaminyltransferase 8 [EC:2.4.1.-]	0
K09666	beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.-]	2
K09667	protein O-GlcNAc transferase [EC:2.4.1.255]	2
K09668	glycosyltransferase-like protein LARGE [EC:2.4.2.- 2.4.1.-]	2
K09669	alpha-1,3-fucosyltransferase 10 [EC:2.4.1.-]	0
K09670	carbohydrate 6-sulfotransferase 5 [EC:2.8.2.-]	0
K09671	carbohydrate 6-sulfotransferase 6 [EC:2.8.2.-]	1
K09672	carbohydrate 4-sulfotransferase 8 [EC:2.8.2.-]	2
K09673	carbohydrate 4-sulfotransferase 9 [EC:2.8.2.-]	2
K09674	carbohydrate 3-sulfotransferase 10 [EC:2.8.2.-]	2
K09675	galactose-3-O-sulfotransferase 2 [EC:2.8.2.-]	0
K09676	galactose-3-O-sulfotransferase 3 [EC:2.8.2.-]	0
K09677	galactose-3-O-sulfotransferase 4 [EC:2.8.2.-]	0
K09678	[heparan sulfate]-glucosamine 3-sulfotransferase 4 [EC:2.8.2.-]	0
K09679	[heparan sulfate]-glucosamine 3-sulfotransferase 6 [EC:2.8.2.-]	0
K09680	type II pantothenate kinase [EC:2.7.1.33]	2
K09681	LysR family transcriptional regulator, transcription activator of glutamate synthase operon	0
K09682	MarR family transcriptional regulator, protease production regulatory protein HPr	0
K09683	hut operon positive regulatory protein	0
K09684	purine catabolism regulatory protein	0
K09685	purine operon repressor	0
K09688	capsular polysaccharide transport system permease protein	1
K09689	capsular polysaccharide transport system ATP-binding protein [EC:3.6.3.38]	1
K09690	lipopolysaccharide transport system permease protein	1
K09691	lipopolysaccharide transport system ATP-binding protein	1
K09692	teichoic acid transport system permease protein	1
K09693	teichoic acid transport system ATP-binding protein [EC:3.6.3.40]	1
K09694	lipooligosaccharide transport system permease protein	1
K09695	lipooligosaccharide transport system ATP-binding protein	1
K09696	sodium transport system permease protein	2
K09697	sodium transport system ATP-binding protein [EC:3.6.3.7]	2
K09698	nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]	2
K09699	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	5
K09700	uncharacterized protein	0
K09701	uncharacterized protein	0
K09702	uncharacterized protein	0
K09703	uncharacterized protein	0
K09704	uncharacterized protein	0
K09705	uncharacterized protein	0
K09706	uncharacterized protein	0
K09707	uncharacterized protein	0
K09708	angiotensin-converting enzyme 2 [EC:3.4.17.23]	2
K09709	3-methylfumaryl-CoA hydratase [EC:4.2.1.153]	3
K09710	ribosome-associated protein	0
K09711	uncharacterized protein	0
K09712	uncharacterized protein	0
K09713	uncharacterized protein	0
K09714	uncharacterized protein	0
K09715	uncharacterized protein	0
K09716	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	0
K09717	uncharacterized protein	0
K09718	uncharacterized protein	0
K09719	uncharacterized protein	0
K09720	HTH-type transcriptional regulator, global nitrogen regulator NrpRI	0
K09721	uncharacterized protein	0
K09722	4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]	3
K09723	DNA replication factor GINS	0
K09724	uncharacterized protein	0
K09725	uncharacterized protein	0
K09726	uncharacterized protein	0
K09727	uncharacterized protein	0
K09728	uncharacterized protein	0
K09729	uncharacterized protein	0
K09730	uncharacterized protein	0
K09731	uncharacterized protein	0
K09732	uncharacterized protein	0
K09733	(5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]	1
K09735	uncharacterized protein	0
K09736	uncharacterized protein	0
K09737	uncharacterized protein	0
K09738	uncharacterized protein	0
K09739	dihydroneopterin aldolase [EC:4.1.2.25]	1
K09740	uncharacterized protein	0
K09741	KEOPS complex subunit Pcc1	0
K09742	uncharacterized protein	0
K09743	uncharacterized protein	0
K09744	uncharacterized protein	0
K09745	uncharacterized protein	0
K09746	uncharacterized protein	0
K09747	uncharacterized protein	0
K09748	ribosome maturation factor RimP	0
K09749	uncharacterized protein	0
K09750	transmembrane protease serine 11A [EC:3.4.21.-]	0
K09751	transmembrane protease serine 11B [EC:3.4.21.-]	0
K09752	transmembrane protease serine 11F [EC:3.4.21.-]	0
K09753	cinnamoyl-CoA reductase [EC:1.2.1.44]	3
K09754	coumaroylquinate(coumaroylshikimate) 3-monooxygenase [EC:1.14.13.36]	5
K09755	ferulate-5-hydroxylase [EC:1.14.-.-]	3
K09756	serine carboxypeptidase-like 19 [EC:3.4.16.- 2.3.1.91]	1
K09757	serine carboxypeptidase-like 8 [EC:3.4.16.- 2.3.1.92]	1
K09758	aspartate 4-decarboxylase [EC:4.1.1.12]	4
K09759	nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]	1
K09760	DNA recombination protein RmuC	0
K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	0
K09762	uncharacterized protein	0
K09763	uncharacterized protein	0
K09764	uncharacterized protein	0
K09765	epoxyqueuosine reductase [EC:1.17.99.6]	0
K09766	uncharacterized protein	0
K09767	cyclic-di-GMP-binding protein	0
K09768	uncharacterized protein	0
K09769	uncharacterized protein	0
K09770	uncharacterized protein	0
K09771	small multidrug resistance family-3 protein	0
K09772	cell division inhibitor SepF	0
K09773	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	0
K09774	lipopolysaccharide export system protein LptA	0
K09775	uncharacterized protein	0
K09776	uncharacterized protein	0
K09777	uncharacterized protein	0
K09778	uncharacterized protein	0
K09779	uncharacterized protein	0
K09780	uncharacterized protein	0
K09781	uncharacterized protein	0
K09782	amphiregulin	5
K09783	betacellulin	1
K09784	epiregulin	4
K09785	uncharacterized protein	0
K09786	uncharacterized protein	0
K09787	uncharacterized protein	0
K09788	2-methylaconitate isomerase [EC:5.3.3.-]	1
K09789	pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	2
K09790	uncharacterized protein	0
K09791	uncharacterized protein	0
K09792	uncharacterized protein	0
K09793	uncharacterized protein	0
K09794	uncharacterized protein	0
K09795	uncharacterized protein	0
K09796	periplasmic copper chaperone A	0
K09797	uncharacterized protein	0
K09798	uncharacterized protein	0
K09799	uncharacterized protein	0
K09800	translocation and assembly module TamB	0
K09801	uncharacterized protein	0
K09802	uncharacterized protein	0
K09803	uncharacterized protein	0
K09804	uncharacterized protein	0
K09805	uncharacterized protein	0
K09806	uncharacterized protein	0
K09807	uncharacterized protein	0
K09808	lipoprotein-releasing system permease protein	1
K09809	CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]	0
K09810	lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]	1
K09811	cell division transport system permease protein	1
K09812	cell division transport system ATP-binding protein	1
K09813	hemin transport system permease protein	1
K09814	hemin transport system ATP-binding protein [EC:3.6.3.-]	1
K09815	zinc transport system substrate-binding protein	1
K09816	zinc transport system permease protein	1
K09817	zinc transport system ATP-binding protein [EC:3.6.3.-]	1
K09818	manganese/iron transport system substrate-binding protein	0
K09819	manganese/iron transport system permease protein	0
K09820	manganese/iron transport system ATP-binding protein	0
K09821	angiotensinogen	2
K09822	uncharacterized protein	0
K09823	Fur family transcriptional regulator, zinc uptake regulator	1
K09824	uncharacterized protein	0
K09825	Fur family transcriptional regulator, peroxide stress response regulator	0
K09826	Fur family transcriptional regulator, iron response regulator	0
K09827	3-keto steroid reductase [EC:1.1.1.270]	3
K09828	Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]	3
K09829	C-8 sterol isomerase [EC:5.-.-.-]	3
K09831	sterol 22-desaturase [EC:1.14.19.41]	3
K09832	sterol 22-desaturase [EC:1.14.19.41]	3
K09833	homogentisate phytyltransferase / homogentisate geranylgeranyltransferase [EC:2.5.1.115 2.5.1.116]	3
K09834	tocopherol cyclase [EC:5.5.1.24]	3
K09835	prolycopene isomerase [EC:5.2.1.13]	3
K09836	beta-carotene ketolase (CrtW type)	1
K09837	carotene epsilon-monooxygenase [EC:1.14.99.45]	3
K09838	zeaxanthin epoxidase [EC:1.14.15.21]	3
K09839	violaxanthin de-epoxidase [EC:1.23.5.1]	3
K09840	9-cis-epoxycarotenoid dioxygenase [EC:1.13.11.51]	3
K09841	xanthoxin dehydrogenase [EC:1.1.1.288]	3
K09842	abscisic-aldehyde oxidase [EC:1.2.3.14]	3
K09843	(+)-abscisic acid 8-hydroxylase [EC:1.14.13.93]	1
K09844	carotenoid 1,2-hydratase [EC:4.2.1.131]	2
K09845	1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]	2
K09846	demethylspheroidene O-methyltransferase [EC:2.1.1.210]	2
K09847	spheroidene monooxygenase [EC:1.14.15.9]	2
K09848	TNF receptor-associated factor 4	4
K09849	TNF receptor-associated factor 5	11
K09850	Ras association domain-containing protein 1	7
K09851	Ras association domain-containing protein 2/4	2
K09852	Ras association domain-containing protein 3	0
K09854	Ras association domain-containing protein 6	2
K09855	Ras association domain-containing protein 7/8	0
K09856	Ras association domain-containing protein 9/10	0
K09857	uncharacterized protein	0
K09858	SEC-C motif domain protein	0
K09859	uncharacterized protein	0
K09860	uncharacterized protein	0
K09861	uncharacterized protein	0
K09862	uncharacterized protein	0
K09863	aquaporin-0	0
K09864	aquaporin-1	3
K09865	aquaporin-2	1
K09866	aquaporin-4	2
K09867	aquaporin-5	1
K09868	aquaporin-6	0
K09869	aquaporin-8	1
K09870	aquaporin-11	0
K09871	aquaporin-12	0
K09872	aquaporin PIP	0
K09873	aquaporin TIP	0
K09874	aquaporin NIP	0
K09875	aquaporin SIP	0
K09876	aquaporin-3	1
K09877	aquaporin-9	1
K09878	aquaporin-10	0
K09879	isorenieratene synthase	1
K09880	enolase-phosphatase E1 [EC:3.1.3.77]	2
K09881	acylglycerol kinase [EC:2.7.1.94]	2
K09882	cobaltochelatase CobS [EC:6.6.1.2]	2
K09883	cobaltochelatase CobT [EC:6.6.1.2]	2
K09884	aquaporin rerated protein, invertebrate	0
K09885	aquaporin rerated protein, other eukaryote	0
K09886	aquaglyceroporin related protein, invertebrate	0
K09887	dCTP deaminase (dUMP-forming) [EC:3.5.4.30]	1
K09888	cell division protein ZapA	0
K09889	ribosome-associated protein	0
K09890	alternative ribosome-rescue factor	0
K09891	uncharacterized protein	0
K09892	cell division protein ZapB	0
K09893	regulator of ribonuclease activity B	0
K09894	uncharacterized protein	0
K09895	uncharacterized protein	0
K09896	uncharacterized protein	0
K09897	uncharacterized protein	0
K09898	uncharacterized protein	0
K09899	uncharacterized protein	0
K09900	uncharacterized protein	0
K09901	uncharacterized protein	0
K09902	uncharacterized protein	0
K09903	uridylate kinase [EC:2.7.4.22]	2
K09904	uncharacterized protein	0
K09905	beta-1,4-galactosyltransferase 5 [EC:2.4.1.-]	2
K09906	elongation factor P hydroxylase [EC:1.14.-.-]	0
K09907	uncharacterized protein	0
K09908	uncharacterized protein	0
K09909	uncharacterized protein	0
K09910	uncharacterized protein	0
K09911	uncharacterized protein	0
K09912	uncharacterized protein	0
K09913	purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]	4
K09914	putative lipoprotein	0
K09915	uncharacterized protein	0
K09916	uncharacterized protein	0
K09917	uncharacterized protein	0
K09918	uncharacterized protein	0
K09919	uncharacterized protein	0
K09920	uncharacterized protein	0
K09921	uncharacterized protein	0
K09922	uncharacterized protein	0
K09923	uncharacterized protein	0
K09924	uncharacterized protein	0
K09925	uncharacterized protein	0
K09926	uncharacterized protein	0
K09927	uncharacterized protein	0
K09928	uncharacterized protein	0
K09929	uncharacterized protein	0
K09930	uncharacterized protein	0
K09931	uncharacterized protein	0
K09932	uncharacterized protein	0
K09933	MtfA peptidase	0
K09934	uncharacterized protein	0
K09935	uncharacterized protein	0
K09936	bacterial/archaeal transporter family-2 protein	1
K09937	uncharacterized protein	0
K09938	uncharacterized protein	0
K09939	uncharacterized protein	0
K09940	uncharacterized protein	0
K09941	uncharacterized protein	0
K09942	uncharacterized protein	0
K09943	uncharacterized protein	0
K09944	uncharacterized protein	0
K09945	uncharacterized protein	0
K09946	uncharacterized protein	0
K09947	uncharacterized protein	0
K09948	uncharacterized protein	0
K09949	uncharacterized protein	0
K09950	uncharacterized protein	0
K09951	CRISPR-associated protein Cas2	0
K09952	CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]	0
K09953	lipid A 3-O-deacylase	0
K09954	uncharacterized protein	0
K09955	uncharacterized protein	0
K09956	uncharacterized protein	0
K09957	uncharacterized protein	0
K09958	uncharacterized protein	0
K09959	uncharacterized protein	0
K09960	uncharacterized protein	0
K09961	uncharacterized protein	0
K09962	uncharacterized protein	0
K09963	uncharacterized protein	0
K09964	uncharacterized protein	0
K09965	uncharacterized protein	0
K09966	uncharacterized protein	0
K09967	uncharacterized protein	0
K09968	uncharacterized protein	0
K09969	general L-amino acid transport system substrate-binding protein	1
K09970	general L-amino acid transport system permease protein	1
K09971	general L-amino acid transport system permease protein	1
K09972	general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]	1
K09973	uncharacterized protein	0
K09974	uncharacterized protein	0
K09975	uncharacterized protein	0
K09976	uncharacterized protein	0
K09977	uncharacterized protein	0
K09978	uncharacterized protein	0
K09979	uncharacterized protein	0
K09980	uncharacterized protein	0
K09981	uncharacterized protein	0
K09982	uncharacterized protein	0
K09983	uncharacterized protein	0
K09984	uncharacterized protein	0
K09985	uncharacterized protein	0
K09986	uncharacterized protein	0
K09987	uncharacterized protein	0
K09988	D-lyxose ketol-isomerase [EC:5.3.1.15]	1
K09989	uncharacterized protein	0
K09990	uncharacterized protein	0
K09991	uncharacterized protein	0
K09992	uncharacterized protein	0
K09993	cyclin-dependent kinase inhibitor 1C	1
K09994	aminoalkylphosphonate N-acetyltransferase [EC:2.3.1.-]	1
K09995	homeobox protein Nkx-3.2	0
K09996	arginine transport system substrate-binding protein	1
K09997	arginine transport system substrate-binding protein	1
K09998	arginine transport system permease protein	1
K09999	arginine transport system permease protein	1
K10000	arginine transport system ATP-binding protein [EC:3.6.3.-]	1
K10001	glutamate/aspartate transport system substrate-binding protein	2
K10002	glutamate/aspartate transport system permease protein	2
K10003	glutamate/aspartate transport system permease protein	2
K10004	glutamate/aspartate transport system ATP-binding protein [EC:3.6.3.-]	2
K10005	glutamate transport system substrate-binding protein	1
K10006	glutamate transport system permease protein	1
K10007	glutamate transport system permease protein	1
K10008	glutamate transport system ATP-binding protein [EC:3.6.3.-]	1
K10009	cystine transport system permease protein	1
K10010	cystine transport system ATP-binding protein [EC:3.6.3.-]	1
K10011	UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]	2
K10012	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]	2
K10013	lysine/arginine/ornithine transport system substrate-binding protein	1
K10014	histidine transport system substrate-binding protein	1
K10015	histidine transport system permease protein	1
K10016	histidine transport system permease protein	1
K10017	histidine transport system ATP-binding protein [EC:3.6.3.21]	1
K10018	octopine/nopaline transport system substrate-binding protein	1
K10019	octopine/nopaline transport system permease protein	1
K10020	octopine/nopaline transport system permease protein	1
K10021	octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]	1
K10022	arginine/ornithine transport system substrate-binding protein	1
K10023	arginine/ornithine transport system permease protein	1
K10024	arginine/ornithine transport system permease protein	1
K10025	arginine/ornithine transport system ATP-binding protein [EC:3.6.3.-]	1
K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	2
K10027	phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]	3
K10028	D-dopachrome decarboxylase [EC:4.1.1.84]	0
K10029	platelet basic protein	2
K10030	interleukin 8	28
K10031	C-X-C motif chemokine 12	10
K10032	C-X-C motif chemokine 13	2
K10033	C-X-C motif chemokine 14	2
K10034	C-X-C motif chemokine 15	2
K10035	C-X-C motif chemokine 16	2
K10036	glutamine transport system substrate-binding protein	1
K10037	glutamine transport system permease protein	1
K10038	glutamine transport system ATP-binding protein [EC:3.6.3.-]	1
K10039	putative glutamine transport system substrate-binding protein	1
K10040	putative glutamine transport system permease protein	1
K10041	putative glutamine transport system ATP-binding protein [EC:3.6.3.-]	1
K10042	succinate receptor 1	1
K10043	oxoeicosanoid receptor 1	0
K10044	retinoic acid receptor responder protein 2	0
K10045	chorionic gonadotropin, beta polypeptide	0
K10046	GDP-D-mannose 3, 5-epimerase [EC:5.1.3.18 5.1.3.-]	4
K10047	inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]	5
K10048	CCAAT/enhancer binding protein (C/EBP), beta	4
K10049	CCAAT/enhancer binding protein (C/EBP), gamma	1
K10050	CCAAT/enhancer binding protein (C/EBP), delta	0
K10051	CCAAT/enhancer binding protein (C/EBP), epsilon	2
K10052	CCAAT/enhancer binding protein (C/EBP), invertebrate	0
